,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.03
2,20,0.0,200,4020,-0.03
3,20,0.0,300,6020,0.06
4,20,1.0,400,8020,0.21
5,20,2.0,500,10020,0.32
6,20,0.0,600,12020,0.41
7,20,0.0,700,14020,0.41
8,20,0.0,800,16020,0.46
9,20,0.0,900,18020,0.38
10,20,2.0,1000,20020,0.44
11,20,0.0,1100,22020,0.33
12,20,1.0,1200,24020,0.48
13,20,0.0,1300,26020,0.45
14,20,1.0,1400,28020,0.53
15,20,1.0,1500,30020,0.53
16,20,0.0,1600,32020,0.45
17,20,0.0,1700,34020,0.49
18,20,1.0,1800,36020,0.61
19,20,1.0,1900,38020,0.66
20,20,1.0,2000,40020,0.59
21,20,1.0,2100,42020,0.65
22,20,0.0,2200,44020,0.76
23,20,1.0,2300,46020,0.87
24,20,1.0,2400,48020,0.83
25,20,1.0,2500,50020,0.89
26,20,2.0,2600,52020,0.87
27,20,0.0,2700,54020,0.87
28,20,1.0,2800,56020,0.91
29,20,1.0,2900,58020,1.0
30,20,2.0,3000,60020,0.86
31,20,1.0,3100,62020,0.9
32,20,1.0,3200,64020,1.09
33,20,1.0,3300,66020,0.88
34,20,2.0,3400,68020,0.89
35,20,1.0,3500,70020,0.94
36,20,1.0,3600,72020,0.93
37,20,1.0,3700,74020,1.01
38,20,1.0,3800,76020,0.87
39,20,1.0,3900,78020,1.03
40,20,1.0,4000,80020,1.03
41,20,1.0,4100,82020,1.03
42,20,1.0,4200,84020,1.06
43,20,1.0,4300,86020,0.95
44,20,1.0,4400,88020,1.08
45,20,1.0,4500,90020,1.17
46,20,2.0,4600,92020,1.02
47,20,1.0,4700,94020,1.1
48,20,2.0,4800,96020,0.95
49,20,1.0,4900,98020,1.03
50,20,1.0,5000,100020,1.05
