,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.03
2,20,0.0,200,4020,-0.1
3,20,0.0,300,6020,-0.12
4,20,0.0,400,8020,0.18
5,20,0.0,500,10020,0.32
6,20,-1.0,600,12020,0.32
7,20,0.0,700,14020,0.6
8,20,1.0,800,16020,0.59
9,20,0.0,900,18020,0.38
10,20,0.0,1000,20020,0.5
11,20,-1.0,1100,22020,0.76
12,20,1.0,1200,24020,0.79
13,20,1.0,1300,26020,0.89
14,20,0.0,1400,28020,0.87
15,20,0.0,1500,30020,0.85
16,20,2.0,1600,32020,1.03
17,20,1.0,1700,34020,0.97
18,20,1.0,1800,36020,0.9
19,20,1.0,1900,38020,0.97
20,20,1.0,2000,40020,0.99
21,20,0.0,2100,42020,1.19
22,20,2.0,2200,44020,1.34
23,20,2.0,2300,46020,1.3
24,20,2.0,2400,48020,1.24
25,20,2.0,2500,50020,1.4
26,20,1.0,2600,52020,1.47
27,20,1.0,2700,54020,1.32
28,20,-1.0,2800,56020,1.39
29,20,0.0,2900,58020,1.3
30,20,2.0,3000,60020,1.5
31,20,2.0,3100,62020,1.43
32,20,1.0,3200,64020,1.42
33,20,1.0,3300,66020,1.35
34,20,1.0,3400,68020,1.4
35,20,2.0,3500,70020,1.37
36,20,1.0,3600,72020,1.45
37,20,2.0,3700,74020,1.29
38,20,1.0,3800,76020,1.43
39,20,2.0,3900,78020,1.44
40,20,1.0,4000,80020,1.51
41,20,1.0,4100,82020,1.41
42,20,2.0,4200,84020,1.41
43,20,2.0,4300,86020,1.49
44,20,2.0,4400,88020,1.56
45,20,2.0,4500,90020,1.47
46,20,2.0,4600,92020,1.55
47,20,1.0,4700,94020,1.58
48,20,2.0,4800,96020,1.44
49,20,2.0,4900,98020,1.53
50,20,2.0,5000,100020,1.47
